species,fastq_pass,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Unknown,2997512,2997512,Unclassified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Escherichia coli,233774,233774,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
Thermobifida fusca,200694,200694,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Thermobifida,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Nocardiopsaceae;Thermobifida;Thermobifida fusca
Mycolicibacterium thermoresistibile,73889,73889,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium thermoresistibile
Saccharomonospora viridis,48520,48520,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Saccharomonospora;Saccharomonospora viridis
Actinomadura sp. NAK00032,43836,43836,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura sp. NAK00032
Actinomadura madurae,35660,35660,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura madurae
Actinomadura sp. WMMA1423,31289,31289,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura sp. WMMA1423
Thermobifida alba,28208,28208,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Thermobifida,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Nocardiopsaceae;Thermobifida;Thermobifida alba
Novibacillus thermophilus,28064,28064,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Novibacillus,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Thermoactinomycetaceae;Novibacillus;Novibacillus thermophilus
Arachnia propionica,25339,25339,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Arachnia,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;Arachnia propionica
Sphaerobacter thermophilus,22507,22507,Bacteria,Bacteria_none,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Bacteria;Bacteria_none;Thermomicrobiota;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;Sphaerobacter thermophilus
Paracoccus kondratievae,18879,18879,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus;Paracoccus kondratievae
Actinomadura verrucosospora,17177,17177,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura verrucosospora
Actinomadura sp. WMMB 499,13954,13954,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura sp. WMMB 499
Mycolicibacterium hassiacum,12209,12209,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium hassiacum
Luteimonas sp. JM171,11960,11960,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;Luteimonas sp. JM171
Actinomadura graeca,11934,11934,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura graeca
Salmonella enterica,10279,10279,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
Nonomuraea coxensis,8936,8936,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Nonomuraea;Nonomuraea coxensis
Homo sapiens,7934,7934,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Eukaryota;Metazoa;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
Thermobispora bispora,7790,7790,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Thermobispora,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Thermobispora;Thermobispora bispora
Rhodothermus marinus,7566,7566,Bacteria,Bacteria_none,Bacteroidota,Bacteroidota_Incertae_sedis,Bacteroidota_Incertae_sedis,Rhodothermaceae,Rhodothermus,Bacteria;Bacteria_none;Bacteroidota;Bacteroidota_Incertae_sedis;Bacteroidota_Incertae_sedis;Rhodothermaceae;Rhodothermus;Rhodothermus marinus
Klebsiella quasipneumoniae,6982,6982,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella quasipneumoniae
Nonomuraea phyllanthi,6839,6839,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Nonomuraea;Nonomuraea phyllanthi
Thermomonospora amylolytica,6585,6585,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Thermomonospora,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Thermomonospora;Thermomonospora amylolytica
Nocardiopsis sp. Mg02,6421,6421,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Nocardiopsis,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Nocardiopsaceae;Nocardiopsis;Nocardiopsis sp. Mg02
Nonomuraea sp. ATCC 55076,6410,6410,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Nonomuraea;Nonomuraea sp. ATCC 55076
Nonomuraea gerenzanensis,5939,5939,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Nonomuraea,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Nonomuraea;Nonomuraea gerenzanensis
Sandaracinus amylolyticus,5613,5613,Bacteria,Bacteria_none,Pseudomonadota,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Bacteria;Bacteria_none;Pseudomonadota;Deltaproteobacteria;Myxococcales;Sandaracinaceae;Sandaracinus;Sandaracinus amylolyticus
Natronosporangium hydrolyticum,5204,5204,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Natronosporangium,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Natronosporangium;Natronosporangium hydrolyticum
Pseudomonas aeruginosa,5187,5187,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa
Pseudoxanthomonas suwonensis,4767,4767,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Pseudoxanthomonas suwonensis
Rhizobium sp. K1/93,4547,4547,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;Rhizobium sp. K1/93
Actinomarinicola tropica,4312,4312,Bacteria,Bacteria_none,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,Bacteria;Bacteria_none;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Actinomarinicola;Actinomarinicola tropica
