species,fastq_pass,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Unknown,3651435,3651435,Unclassified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Stutzerimonas stutzeri,152853,152853,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas;Stutzerimonas stutzeri
Escherichia coli,127131,127131,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
Novibacillus thermophilus,85677,85677,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Novibacillus,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Thermoactinomycetaceae;Novibacillus;Novibacillus thermophilus
Oceanobacillus oncorhynchi,83551,83551,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;Oceanobacillus oncorhynchi
Saccharomonospora viridis,59930,59930,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Saccharomonospora;Saccharomonospora viridis
Thermobifida fusca,55586,55586,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Thermobifida,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Nocardiopsaceae;Thermobifida;Thermobifida fusca
Corynebacterium stationis,33717,33717,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium stationis
Mammaliicoccus sciuri,32974,32974,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Mammaliicoccus;Mammaliicoccus sciuri
Acinetobacter variabilis,28407,28407,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter variabilis
Cellvibrio sp. PSBB006,25247,25247,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;Cellvibrio sp. PSBB006
