species,fastq_pass,total,superkingdom,kingdom,phylum,class,order,family,genus,tax
Unknown,5997370,5997370,Unclassified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
Thermobifida fusca,299085,299085,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Thermobifida,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Nocardiopsaceae;Thermobifida;Thermobifida fusca
Escherichia coli,157940,157940,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli
Mycolicibacterium thermoresistibile,101834,101834,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium thermoresistibile
Glutamicibacter arilaitensis,53859,53859,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Glutamicibacter,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Glutamicibacter;Glutamicibacter arilaitensis
Sphaerobacter thermophilus,48761,48761,Bacteria,Bacteria_none,Thermomicrobiota,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Bacteria;Bacteria_none;Thermomicrobiota;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter;Sphaerobacter thermophilus
Thermobifida alba,39223,39223,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsaceae,Thermobifida,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Nocardiopsaceae;Thermobifida;Thermobifida alba
Arachnia propionica,37634,37634,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Arachnia,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;Arachnia propionica
Planococcus sp. 107-1,33415,33415,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Planococcaceae;Planococcus;Planococcus sp. 107-1
Symbiobacterium thermophilum,22879,22879,Bacteria,Bacteria_none,Bacillota,Clostridia,Eubacteriales,Symbiobacteriaceae,Symbiobacterium,Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Symbiobacteriaceae;Symbiobacterium;Symbiobacterium thermophilum
Saccharomonospora viridis,20510,20510,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Saccharomonospora,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Saccharomonospora;Saccharomonospora viridis
Salmonella enterica,13097,13097,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica
Luteimonas sp. JM171,10854,10854,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;Luteimonas sp. JM171
Acinetobacter pseudolwoffii,10554,10554,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter pseudolwoffii
Cellvibrio sp. PSBB006,10482,10482,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Cellvibrio;Cellvibrio sp. PSBB006
Homo sapiens,10197,10197,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Eukaryota;Metazoa;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens
Pseudoxanthomonas suwonensis,9578,9578,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas;Pseudoxanthomonas suwonensis
Pseudomonas aeruginosa,9143,9143,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa
Solibacillus silvestris,8641,8641,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Planococcaceae,Solibacillus,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Planococcaceae;Solibacillus;Solibacillus silvestris
Georgenia wutianyii,8605,8605,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Micrococcales,Bogoriellaceae,Georgenia,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Micrococcales;Bogoriellaceae;Georgenia;Georgenia wutianyii
Ureibacillus thermosphaericus,8593,8593,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Planococcaceae,Ureibacillus,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Planococcaceae;Ureibacillus;Ureibacillus thermosphaericus
Mycolicibacterium hassiacum,8583,8583,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycolicibacterium,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium hassiacum
Actinomadura sp. NAK00032,8426,8426,Bacteria,Bacteria_none,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Actinomadura,Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura sp. NAK00032
Staphylococcus equorum,7855,7855,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus equorum
Luteimonas sp. MC1750,7637,7637,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas;Luteimonas sp. MC1750
