species,TempClass
Tomitella gaofuii,
Empedobacter brevis,
Ponticoccus alexandrii,
Guyparkeria halophila,
Amphibacillus xylanus,
Bradyrhizobium guangxiense,
Noviherbaspirillum sp. UKPF54,
Mycolicibacterium insubricum,
Caulobacter sp. FWC26,
Desulfuromonas versatilis,
Thioflavicoccus mobilis,
Halomonas sp. JS92-SW72,
Streptomyces sp. S1D4-11,Mesophilic
Microbacterium sp. 1S1,
Altererythrobacter sp. B11,
Streptomyces olivaceus,Mesophilic
Mycobacterium sp. MS1601,
Rhizobium rosettiformans,
Halomonas sp. SS10-MC5,
Bacillus sp. Lzh-5,
Caulobacter sp. S6,
Sphingopyxis granuli,
Flavobacterium ammonificans,
Acidithiobacillus ferrooxidans,
Bosea sp. Tri-49,
Methylosinus sp. C49,
Sphingobium sp. TKS,
Coffea arabica,
Microbacterium fandaimingii,
Mycolicibacterium phocaicum,
Ornithobacterium rhinotracheale,
Botrimarina mediterranea,
Bradyrhizobium sp. SK17,
Rhizobium lentis,
Azospirillum lipoferum,
Paraburkholderia phytofirmans,
Denitratisoma sp. DHT3,
Pseudomonas sp. ABC1,Mesophilic
Occallatibacter riparius,
Streptomyces sp. DSM 40750,Mesophilic
Streptomyces xiamenensis,Mesophilic
Glutamicibacter nicotianae,
Runella rosea,
Vigna radiata,
Streptomyces xanthophaeus,Mesophilic
Agreia sp. COWG,
Mycobacterium sp. DL592,
Mycolicibacterium monacense,
Paraburkholderia acidisoli,
Paraburkholderia sp. SOS3,
Medicago truncatula,
Granulicella sp. WH15,
Streptomyces sp. PAMC 26508,Mesophilic
Corynebacterium cyclohexanicum,
Mesorhizobium sp. 113-3-3,
Phyllobacterium sp. A18/5-2,
Massilia violaceinigra,
Laribacter hongkongensis,
Streptomyces finlayi,Mesophilic
Streptomyces sp. WY228,Mesophilic
Salinibacterium sp. ZJ450,
Brassica rapa,
Curtobacterium sp. 24E2,
Phyllobacterium sp. T1018,
Agrobacterium rhizogenes,
Rhizobium sp. X9,
Achromobacter sp. ES-001,
Pandoraea pnomenusa,
Myxococcus hansupus,
Pseudomonas sp. SCB32,Mesophilic
Gordonia pseudamarae,
Gordonia terrae,
Chryseobacterium taklimakanense,
Stieleria maiorica,
Blastochloris viridis,
Aquabacter sp. L1I39,
Halomonas sp. HG01,
Dyella telluris,
Nocardia iowensis,
Acidipropionibacterium jensenii,
Candidatus Endoriftia persephone,
Pseudomonas sp. gcc21,Mesophilic
Roseimaritima ulvae,
Methyloceanibacter sp. wino2,
Sphingobium sp. CFD-2,
Paraburkholderia caribensis,
Paludibacterium sp. B53371,
Pseudomonas synxantha,Mesophilic
Streptomyces sp. SGAir0924,Mesophilic
Nocardia tengchongensis,
Paludisphaera borealis,
Caulobacter rhizosphaerae,
Rhizobium tropici,
Thiobacillus denitrificans,
Streptomyces sp. ADI95-16,Mesophilic
Skermanella rosea,
Opitutus terrae,
Streptomyces sp. WA6-1-16,Mesophilic
Mycolicibacterium gilvum,
Actinoalloteichus hoggarensis,
Methylibium sp. Pch-M,
Usitatibacter palustris,
Akkermansia muciniphila,
Devosia sp. 1566,
Phyllobacterium sp. T1293,
Yangia pacifica,
Sulfuritalea hydrogenivorans,
Brassica oleracea,
Streptomyces tubercidicus,Mesophilic
Sodaliphilus pleomorphus,
Desulfosarcina widdelii,
Gloeobacter kilaueensis,
Methylobacterium radiodurans,
Bradyrhizobium symbiodeficiens,
Altererythrobacter sp. BO-6,
Thauera aromatica,
Streptomyces sp. Je 1-369,Mesophilic
Mycobacterium branderi,
Brevibacillus sp. WF146,
Paenibacillus yonginensis,
Pseudopedobacter saltans,
Halomonas sp. THAF5a,
Marinobacter nauticus,
Gordonia sp. 1D,
Rhizobium binae,
Hydrogenophaga sp. PBL-H3,
Ectothiorhodospira haloalkaliphila,
Verrucomicrobium sp. GAS474,
Manihot esculenta,
Setaria italica,
Deinococcus actinosclerus,
Bosea sp. ANAM02,
Ensifer sp. PDNC004,
Rhizobium sp. BG4,
Azospirillum sp. TSA2s,
Pseudomonas sp. KNUC1026,Mesophilic
Mycobacterium parmense,
Phenylobacterium parvum,
Methylobacterium durans,
Bradyrhizobium genosp. B,
Rhodobacter capsulatus,
Microbulbifer sp. SH-1,
Xanthomonas vasicola,
Brevibacillus sp. MMS20-4M-10-Y,
Clostridium sporogenes,Mesophilic
Melaminivora jejuensis,
Pseudomonas sp. ADPe,Mesophilic
Bradyrhizobium sp. 4,
Tardibacter chloracetimidivorans,
Hydrogenophaga sp. BPS33,
Erigeron canadensis,
Theobroma cacao,
Gordonia sp. SL306,
Mycolicibacterium psychrotolerans,
Paenibacillus beijingensis,
Hoeflea sp. IMCC20628,
Haematobacter massiliensis,
Sphingobium sp. SYK-6,
Comamonas sp. 7D-2,
Tahibacter sp. W38,
Streptomyces hawaiiensis,Mesophilic
Rhodococcus fascians,
Paracoccus sp. SCSIO 75817,
Azospirillum ramasamyi,
Paraburkholderia phenoliruptrix,
Aromatoleum aromaticum,
Streptomyces sp. OUCMDZ-3434,Mesophilic
Deinococcus geothermalis,
Sphingomonas sp. BT-65,
Psilocybe cubensis,
Jatrophihabitans telluris,
Luteipulveratus mongoliensis,
Mycolicibacterium madagascariense,
Mycolicibacterium parafortuitum,
Phaeobacter inhibens,
Sphingomonas bisphenolicum,
Brevibacterium oceani,
Saccharomonospora xinjiangensis,
Paenibacillus sp. R14(2021),
Thermus thermophilus,Thermophilic
Rhodospirillum rubrum,
Sphingomonas profundi,
Comamonas testosteroni,
Pseudoduganella flava,
Actinomyces sp. oral taxon 169,
Streptomyces roseochromogenus,Mesophilic
Streptomyces sp. RPA4-5,Mesophilic
Mycolicibacterium aichiense,
Actinoalloteichus hymeniacidonis,
Martelella endophytica,
Flagellatimonas centrodinii,
Methyloligella sp. GL2,
Rhizobium sp. AB2/73,
Chromobacterium haemolyticum,
Jeongeupia sp. USM3,
Pseudomonas cannabina,Mesophilic
Glycine soja,
Aquiflexum balticum,
Cellulophaga sp. L1A9,
Comamonas sp. NLF-7-7,
Leucobacter sp. Psy1,
Microbacterium sp. cx-55,
Mycolicibacterium baixiangningiae,
Flavobacterium sp. F-29,
Caldilinea aerophila,
Maioricimonas rarisocia,
Azospira sp. I09,
Methylobacterium radiotolerans,
Shinella oryzae,
Erythrobacter sp. HL-111,
Burkholderia plantarii,
Variovorax boronicumulans,
Pseudomonas cavernae,Mesophilic
Beta vulgaris,
Vitis riparia,
Corynebacterium efficiens,
Gordonia jinghuaiqii,
Saccharopolyspora sp. ASAGF58,
Paenibacillus sp. DR312,
Polaribacter sejongensis,
Frigidibacter mobilis,
Paracoccus aminovorans,
Sulfitobacter alexandrii,
Pulveribacter suum,
Allochromatium tepidum,
Gulosibacter molinativorax,
Gordonia amarae,
Mycolicibacterium farcinogenes,
Rhodococcus sp. MTM3W5.2,
Allosaccharopolyspora coralli,
Anoxybacillus sediminis,
Comamonas sp. Y33R10-2,
Variovorax sp. PBS-H4,
Vogesella sp. LIG4,
Cellulosimicrobium sp. TH-20,
Propionibacterium australiense,
Ralstonia insidiosa,
Streptomyces libani,Mesophilic
Myroides phaeus,
Bradyrhizobium guangdongense,
Bradyrhizobium ottawaense,
Citromicrobium sp. JL477,
Streptomyces galilaeus,Mesophilic
Corynebacterium yudongzhengii,
Cohnella herbarum,
Paenibacillus rhizovicinus,
Flavobacterium haoranii,
Roseovarius sp. SCSIO 43702,
Dechloromonas sp. A34,
Spiribacter salinus,
Microbacterium amylolyticum,
Nocardia sp. CS682,
Acidiphilium multivorum,
Pseudomonas fragi,Mesophilic
Pseudomonas sp. PS1(2021),Mesophilic
Austwickia chelonae,
Gordonia iterans,
Muricauda aquimarina,
Pyruvatibacter mobilis,
Rhizobium pseudoryzae,
Magnetospirillum sp. XM-1,
Sphingomonas psychrotolerans,
Pseudomonas sp. LPB0260,Mesophilic
Streptomyces dengpaensis,Mesophilic
Streptomyces sp. WAC 06738,Mesophilic
Ciceribacter thiooxidans,
Sphingomonas hankookensis,
Herbaspirillum robiniae,
Phaseolus vulgaris,
Paludibaculum fermentans,
Flaviflexus salsibiostraticola,
Brevibacterium sp. WHS-Z9,
Dietzia psychralcaliphila,
Rubrobacter radiotolerans,
Faecalibacter bovis,
Pararhizobium sp. YC-54,
Rhodovulum sp. P5,
Erythrobacter sp. HKB08,
Pseudomonas sp. GOM7,Mesophilic
Synechococcus sp. RSCCF101,
Lignipirellula cremea,
Neorhizobium sp. SOG26,
Providencia rettgeri,Mesophilic
Marinobacter sp. AN1,
Streptomyces sp. AgN23,Mesophilic
Microbacterium sp. TPU 3598,
Rhizobium sp. WYJ-E13,
Thioalkalivibrio versutus,
Marisediminicola antarctica,
Brucella suis,
Methylobacterium sp. XJLW,
Bradyrhizobium sp. ORS 285,
Salinisphaera sp. LB1,
Brevirhabdus pacifica,
Hydrogenophaga sp. RAC07,
Bifidobacterium pseudolongum,
Streptomyces sp. CC0208,Mesophilic
Mycolicibacter sp. MYC098,
Saccharibacillus brassicae,
Rhodoferax sediminis,
Tripterygium wilfordii,
Streptomyces sp. HU2014,Mesophilic
Mycolicibacterium mageritense,
Caulobacter mirabilis,
Komagataeibacter europaeus,
Herbaspirillum huttiense,
Dyadobacter sp. CY22,
Flavobacterium sp. xlx-214,
Candidatus Promineofilum breve,
Roseiflexus castenholzii,
Rhodomicrobium vannielii,
Bradyrhizobium sp. A19,
Novosphingobium sp. KA1,
Massilia sp. NP310,
Simiduia sp. 21SJ11W-1,
Microbulbifer celer,
Pseudomonas brassicacearum,Mesophilic
Sesamum indicum,
Streptomyces sp. LBUM 1480,Mesophilic
Nocardia otitidiscaviarum,
Paenibacillus lautus,
Chryseobacterium rhizoplanae,
Agrobacterium vaccinii,
Desulfolutivibrio sulfoxidireducens,
Brevibacillus agri,
Flavobacterium sp. N1994,
Chryseobacterium glaciei,
Deinococcus sp. NW-56,
Pseudomonas nanhaiensis,Mesophilic
Microbacterium sp. PAMC22086,
Plantibacter flavus,
Enterococcus faecium,
Microbulbifer hydrolyticus,
Enterobacter roggenkampii,Mesophilic
Acinetobacter pittii,
Marinobacter sp. CP1,
Ruficoccus sp. ZRK36,
Streptomyces sp. S4.7,Mesophilic
Leucobacter aridicollis,
Mycolicibacterium anyangense,
Nocardia arthritidis,
Nocardia mangyaensis,
Alicyclobacillus acidocaldarius,
Brevundimonas vesicularis,
Comamonas sp. NLF-1-9,
Paenibacillus sp. SYP-B4298,
Martelella mediterranea,
Paracoccus aestuarii,
Lacunisphaera limnophila,
Arthrobacter sp. FW306-05-C,
Tessaracoccus timonensis,
Amycolatopsis roodepoortensis,
Azospirillum sp. B510,
Trifolium pratense,
Halorubrum sp. CBA1229,
Microcella sp. MMS21-STM12,
Amycolatopsis sp. TNS106,
Lachnoclostridium phocaeense,
Variibacter gotjawalensis,
Sphingomonas taxi,
Halomonas elongata,
Actinomyces faecalis,
Jonesia denitrificans,
Rhodococcus koreensis,
Psychrobacillus sp. AK 1817,
Paenibacillus ihbetae,
Paenibacillus thiaminolyticus,
Ensifer sojae,
Rhizorhabdus phycosphaerae,
Sphingomonas sp. ZFBP2030,
Geobacter pickeringii,
Pseudomonas sp. LBUM920,Mesophilic
Microcella sp. MMS21-STM26,
Actinoalloteichus fjordicus,
Solitalea canadensis,
Rhodopseudomonas sp. P2A-2r,
Pseudomonas granadensis,Mesophilic
Streptomyces cinnabarinus,Mesophilic
Clavibacter sp. A6099,
Rhodococcus sp. USK10,
Bremerella sp. P1,
Pelobacter propionicus,
Edwardsiella tarda,Mesophilic
Halomonas sp. PGE1,
Rathayibacter tanaceti,
Segniliparus rotundus,
Bradyrhizobium sp. CCGE-LA001,
Aminobacter aminovorans,
Novosphingobium sp. ES2-1,
Herbaspirillum rubrisubalbicans,
Pseudarthrobacter phenanthrenivorans,
Blattabacterium cuenoti,
Flavobacterium azooxidireducens,
Gimesia chilikensis,
Rhizobium sp. Pop5,
Qipengyuania flava,
Cupriavidus pinatubonensis,
Chromobacterium sp. ATCC 53434,
Salinicola tamaricis,
Curtobacterium luteum,
Mycolicibacterium vaccae,
Tessaracoccus flavus,
Cohnella cholangitidis,
Chryseobacterium sp. 6424,
Afipia carboxidovorans,
Streptomyces sp. BSE6.1,Mesophilic
Rhodococcus coprophilus,
Pandoraea apista,
Sideroxyarcus emersonii,
Myxococcus stipitatus,
Marinobacter salarius,
Micromonas commoda,
Streptomyces scabiei,Mesophilic
Gordonia mangrovi,
Gordonia sp. KTR9,
Flavihumibacter fluminis (ex Park et al. 2022),
Nitrospira moscoviensis,
Methylocella tundrae,
Porphyrobacter sp. ULC335,
Sphingosinicella sp. BN140058,
Burkholderia vietnamiensis,
Acidovorax sp. 5MLIR,
Halomonas tianxiuensis,
Pseudomonas sp. TUM22785,Mesophilic
Colletotrichum higginsianum,
Punica granatum,
Halorussus sp. XZYJT49,
Candidatus Mycosynbacter amalyticus,
Rhizobium sp. WL3,
Paludibacterium paludis,
Pseudomonas sp. MM211,Mesophilic
Ricinus communis,
Actinomyces howellii,
Gloeobacter violaceus,
Pseudorhodoplanes sinuspersici,
Methylorubrum sp. B1-46,
Sphingomonas koreensis,
Streptomyces platensis,Mesophilic
Flavobacterium litorale,
Hydrogenophaga pseudoflava,
Pantoea agglomerans,Mesophilic
Mycobacterium diernhoferi,
Mycolicibacterium duvalii,
Gemmatimonas aurantiaca,
Stieleria neptunia,
Bradyrhizobium barranii,
Bradyrhizobium quebecense,
Pseudomonas plecoglossicida,Mesophilic
Streptomyces sp. WAC00303,Mesophilic
Arthrobacter sp. UKPF54-2,
Gordonia amicalis,
Herbinix luporum,
Salipiger abyssi,
Tsuneonella amylolytica,
Pauljensenia hongkongensis,
Rhizobium sp. SL42,
Herbaspirillum frisingense,
Helicobacter pylori,
Rhodamnia argentea,
Bacillus sp. CMF12,
Oceanobacillus kimchii,
Paenibacillus protaetiae,
Candidatus Nanosynbacter featherlites,
Caulifigura coniformis,
Brevundimonas sp. PAMC22021,
Shinella sp. H4-D48,
Stutzerimonas degradans,
Streptomyces sp. RPA4-2,Mesophilic
Lentibacillus sp. ZS110521,
Streptomyces globisporus,Mesophilic
Streptomyces sp. M2,Mesophilic
Gordonia alkanivorans,
Mycolicibacterium arabiense,
Clostridium neonatale,Mesophilic
Sphingomonas insulae,
Acidihalobacter yilgarnensis,
Pseudomonas khazarica,Mesophilic
Stenotrophomonas indicatrix,
Microbacterium hydrocarbonoxydans,
Bradyrhizobium sp. 6(2017),
Pararhizobium sp. BT-229,
Paracoccus sp. AK26,
Pandoraea pulmonicola,
Desulfarculus baarsii,
Teredinibacter haidensis,
Ectothiorhodospira sp. BSL-9,
Natronoglycomyces albus,
Streptomyces sp. S063,Mesophilic
Mycolicibacterium rhodesiae,
Nakamurella sp. PAMC28650,
Pelagerythrobacter marensis,
Arthrobacter sp. Helios,
Singulisphaera acidiphila,
Rosistilla oblonga,
Brevundimonas subvibrioides,
Defluviicoccus vanus,
Marinobacterium rhizophilum,
Paenarthrobacter sp. JL.01a,
Mycolicibacterium boenickei,
Anoxybacillus sp. PDR2,
Geobacillus subterraneus,Thermophilic
Hymenobacter sp. DG25A,
Sphingobacterium lactis,
Paracoccus suum,
Sphingomonas hengshuiensis,
Diaphorobacter ruginosibacter,
Streptomyces alboniger,Mesophilic
Streptomyces yatensis,Mesophilic
Rathayibacter iranicus,
Mycobacterium dioxanotrophicus,
Azospirillum oryzae,
Novosphingobium sp. 9,
Paucibacter sp. KCTC 42545,
Acidovorax sp. NCPPB 2350,
Desulfuromonas sp. DDH964,
Pseudomonas sp. ATCC 13867,Mesophilic
Frateuria aurantia,
Mycobacterium sp. SMC-2,
Rhodococcus qingshengii,
Rhodococcus sp. WMMA185,
Paenibacillus agaridevorans,
Paenibacillus sp. JZ16,
Agrobacterium fabrum,
Leisingera aquaemixtae,
Gluconacetobacter diazotrophicus,
Massilia sp. LPB0304,
Methylobacillus flagellatus,
Pluralibacter gergoviae,Mesophilic
Halomonas sulfidivorans,
Ziziphus jujuba,
Halomicrobium salinisoli,
Corynebacterium jeikeium,
Sphingobium chlorophenolicum,
Terriglobus roseus,
Actinomyces sp. MAS-1,
Streptomyces mirabilis,Mesophilic
Curtobacterium sp. TC1,
Arthrobacter antioxidans,
Mycobacterium koreense,
Nocardioides baekrokdamisoli,
Bacillus aquiflavi,
Niveispirillum cyanobacteriorum,
Acidovorax sp. KKS102,
Marinobacter sp. M3C,
Pseudomonas sp. CC6-YY-74,Mesophilic
Corynebacterium doosanense,
Diaphorobacter sp. JS3051,
Methylogaea oryzae,
Pseudomonas sp. MM227,Mesophilic
Actinomyces respiraculi,
Streptomyces sp. BJ20,Mesophilic
Citricoccus sp. NR2,
Mycobacterium mantenii,
Clostridium beijerinckii,Mesophilic
Actinomyces slackii,
Cryobacterium arcticum,
Bradyrhizobium sp. ORS 278,
Sphingobium amiense,
Pigmentiphaga aceris,
Pseudogulbenkiania sp. NH8B,
Simiduia agarivorans,
Halomonas socia,
Streptomyces sp. M54,Mesophilic
Mycobacterium seoulense,
Lysinibacillus sp. PLM2,
Methylocystis bryophila,
Rhizobium gallicum,
Rhizobium sullae,
Allochromatium vinosum,
Ketobacter alkanivorans,
Pseudomonas kermanshahensis,Mesophilic
Pseudomonas sp. SWI44,Mesophilic
Arachis duranensis,
Methanobrevibacter ruminantium,
Kocuria indica,
Paenibacillus barcinonensis,
Paenibacillus sp. H1-7,
Desulfocurvibacter africanus,
Pseudomonas rhodesiae,Mesophilic
Gordonia sp. YC-JH1,
Mycolicibacterium sp. YH-1,
Brevibacillus laterosporus,
Paenibacillus azoreducens,
Bradyrhizobium genosp. L,
Paraburkholderia megapolitana,
Chromobacterium violaceum,
Stenotrophomonas sp. YAU14A_MKIMI4_1,
Arthrobacter sp. NicSoilC5,
Anoxybacillus flavithermus,Thermophilic
Rhizobium sp. SSM4.3,
Paracoccus zhejiangensis,
Qipengyuania sp. PHS-Z21,
Ottowia testudinis,
Streptomyces sp. CFMR 7,Mesophilic
Arthrobacter sp. ATA002,
Rhodococcus jostii,
Methylocystis parvus,
Paracoccus liaowanqingii,
Paracoccus sp. SCSIO 75233,
Geoalkalibacter subterraneus,
Halomonas sp. 18071143,
Streptomyces sp. FR-008,Mesophilic
Pseudarthrobacter sp. BIM B-2242,
Fibrella sp. ES10-3-2-2,
Nitrobacter winogradskyi,
Pseudosulfitobacter pseudonitzschiae,
Arthrobacter jiangjiafuii,
Mycolicibacterium brumae,
Hyphomicrobium sp. MC1,
Methylibium petroleiphilum,
Shewanella algae,
Marinobacter sp. NP-4(2019),
Malus sylvestris,
Streptomyces sp. CLI2509,Mesophilic
Cryobacterium soli,
Rhodococcus sp. ZPP,
Rhizobium jaguaris,
Novosphingobium sp. Gsoil 351,
Parasphingopyxis algicola,
Methylomonas koyamae,
Chromohalobacter salexigens,
Dyella terrae,
Mycolicibacterium gadium,
Filifactor alocis,
Sphingomonas piscis,
Paraburkholderia edwinii,
Streptomyces lydicamycinicus,Mesophilic
Brevundimonas sp. AJA228-03,
Agrobacterium larrymoorei,
Rhizobium sp. Kim5,
Mycobacterium crocinum,
Hymenobacter radiodurans,
Pontibacter korlensis,
Burkholderia thailandensis,
Acidovorax sp. NCPPB 3576,
Collimonas fungivorans,
Morganella morganii,Mesophilic
Actinomyces wuliandei,
Leucobacter insecticola,
Salinibacterium hongtaonis,
Mycobacterium sp. YC-RL4,
Paenibacillus chitinolyticus,
Paenibacillus donghaensis,
Fulvivirga sp. SS9-22,
Deinococcus aetherius,
Actibacterium sp. EMB200-NS6,
Sphingomonas sp. FARSPH,
Alloalcanivorax dieselolei,
Venatorbacter cucullus,
Azotobacter vinelandii,
Pseudomonas donghuensis,Mesophilic
Ereboglobus luteus,
Streptomyces decoyicus,Mesophilic
Acidipropionibacterium virtanenii,
Brevundimonas sp. NIBR10,
Salaquimonas pukyongi,
Paracoccus sp. SCSIO 76264,
Silicimonas algicola,
Acidovorax citrulli,
Halioglobus maricola,
Halomonas sp. DN3,
Streptomyces sp. RLB1-33,Mesophilic
Mycobacterium frederiksbergense,
Paenibacillus cellulositrophicus,
Bradyrhizobium sp. CCBAU 051011,
Peteryoungia desertarenae,
Sphingomonas nostoxanthinifaciens,
Comamonas koreensis,
Massilia sp. NR 4-1,
Massilia sp. PAMC28688,
Potentilla anserina,
Streptomyces vinaceusdrappus,Mesophilic
Rhodococcus sp. RDE2,
Niallia sp. RD1,
Brevibacillus sp. BB3-R1,
Anatilimnocola aggregata,
Porphyrobacter sp. CACIAM 03H1,
Polymorphobacter megasporae,
Thiomonas sp. X19,
Woeseia oceani,
Halomonas sp. YLGW01,
Mycolicibacterium mengxianglii,
Capnocytophaga canimorsus,
Agrobacterium salinitolerans,
Rhodoferax sp. BAB1,
Variovorax sp. SRS16,
Oryzomicrobium terrae,
Aeromonas dhakensis,
Pseudomonas tohonis,Mesophilic
Bifidobacterium choerinum,
Pseudarthrobacter sp. MM222,
Mycobacterium doricum,
Acetivibrio thermocellus,
Hymenobacter busanensis,
Gemmata massiliana,
Enterobacter asburiae,Mesophilic
Pseudomonas sp. PIA16,Mesophilic
Streptomyces sp. NBU3104,Mesophilic
Cryobacterium sp. SO1,
Paenibacillus sp. PAMC21692,
Flavobacterium crocinum,
Sphingobacterium sp. KACC 22765,
Rhizobium sp. 11515TR,
Cereibacter azotoformans,
Burkholderia anthina,
Pseudomonas sediminis,Mesophilic
Gelria sp. Kuro-4,
Rhodocytophaga rosea,
Hymenobacter sp. 5420S-77,
Flavobacterium indicum,
Sphingobacterium daejeonense,
Asticcacaulis excentricus,
Brevundimonas sp. DS20,
Gemmobacter fulva,
Acidovorax carolinensis,
Sulfuricaulis limicola,
Acetivibrio saccincola,
Flavobacterium sp. KBS0721,
Blastopirellula sp. J2-11,
Achromobacter sp. B7,
Roseateles sp. SL47,
Acidothermus cellulolyticus,Thermophilic
Streptomyces sp. G11C(2021),Mesophilic
Corynebacterium frankenforstense,
Corynebacterium urealyticum,
Mycolicibacterium confluentis,
Clostridium baratii,Mesophilic
Sphingomonas sp. 7/4-4,
Delftia lacustris,
Massilia sp. DM-R-R2A-13,
Solidesulfovibrio carbinoliphilus,
Halomonas beimenensis,
Pseudomonas chengduensis,Mesophilic
Bifidobacterium subtile,
Gordonia sp. PP30,
Mycobacterium kubicae,
Mycobacterium virginiense,
Mucisphaera calidilacus,
Bradyrhizobium paxllaeri,
Sphingopyxis lindanitolerans,
Paraburkholderia terricola,
Pseudoduganella plicata,
Salmonella sp. SJTUF14523,Mesophilic
Pseudohongiella spirulinae,
Aliamphritea hakodatensis,
Actinomyces sp. Z16,
Micrococcus sp. KD337-16,
Rhodococcus triatomae,
Flavobacterium oreochromis,
Deinococcus ficus,
Methylocella silvestris,
Croceicoccus naphthovorans,
Comamonas serinivorans,
Halomonas subglaciescola,
Halopseudomonas sabulinigri,
Halopseudomonas salegens,
Halopseudomonas xinjiangensis,
Pseudomonas orientalis,Mesophilic
Prunus dulcis,
Mycolicibacterium mucogenicum,
Parafannyhessea umbonata,
Bradyrhizobium sp. 1(2017),
Sphingomonas morindae,
Streptomyces coelicolor,Mesophilic
Streptomyces sp. A1-5,Mesophilic
Streptomyces sp. V17-9,Mesophilic
Subtercola sp. AK-R2A1-2,
Mycolicibacterium fluoranthenivorans,
Peribacillus asahii,
Paenibacillus stellifer,
Erythrobacter sp. SDW2,
Sphingobium sp. MI1205,
Variovorax sp. RKNM96,
Chitinolyticbacter meiyuanensis,
Aeromonas encheleia,
Methylomagnum ishizawai,
Chryseobacterium manosquense,
Hankyongella ginsenosidimutans,
Acidovorax temperans,
Hydrogenophaga taeniospiralis,
Kinneretia sp. XES5,
Dechloromonas denitrificans,
Halomonas titanicae,
Pseudomonas sp. 15A4,Mesophilic
Streptomyces sp. WAC 01529,Mesophilic
Amycolatopsis sp. EV170708-02-1,
Clostridium saccharobutylicum,Mesophilic
Rhizobium sp. ACO-34A,
Burkholderia sp. LA-2-3-30-S1-D2,
Methyloversatilis sp. RAC08,
Halomonas sp. A3H3,
Halomonas sp. LR3S48,
Pseudomonas fuscovaginae,Mesophilic
Aminithiophilus ramosus,
Arthrobacter sp. FB24,
Rothia nasimurium,
Corynebacterium halotolerans,
Planococcus maritimus,
Flavobacterium anhuiense,
Tardiphaga sp. 37S4,
Pelagovum pacificum,
Sphingomonas rhizophila,
Geomonas sp. RF6,
Granulicella sp. 5B5,
Streptomyces sp. EAS-AB2608,Mesophilic
Corynebacterium bovis,
Corynebacterium freneyi,
Oceanobacillus zhaokaii,
Paenibacillus durus,
Methylocystis rosea,
Rhizorhabdus dicambivorans,
Ralstonia pickettii,
Spongiibacter taiwanensis,
Streptomyces nigrescens,Mesophilic
Leucobacter denitrificans,
Arthrobacter sp. 24S4-2,
Rhizobium sp. C104,
Sphingomonas sp. SUN019,
Cupriavidus neocaledonicus,
Pandoraea commovens,
Pseudomonas cremoricolorata,Mesophilic
Pseudomonas sp. LPH1,Mesophilic
Jatrophihabitans sp. GAS493,
Streptomyces sp. R527F,Mesophilic
Mycolicibacter sp. MYC340,
Bacillus paralicheniformis,
Paracoccus contaminans,
Altererythrobacter sp. TH136,
Polymorphobacter sp. PAMC 29334,
Chitinimonas arctica,
Massilia sp. erpn,
Halomonas sulfidoxydans,
Pistricoccus aurantiacus,
Pseudomonas agarici,Mesophilic
Pseudomonas sp. St386,Mesophilic
Vitis vinifera,
Mycolicibacterium helvum,
Mycolicibacterium tokaiense,
Paenibacillus sp. sptzw28,
Desulforamulus ferrireducens,
Gemmatimonas groenlandica,
Granulibacter bethesdensis,
Pseudoduganella lutea,
Aeromonas salmonicida,
Corynebacterium massiliense,
Flavobacterium psychrophilum,
Myroides albus,
Brevundimonas sp. NIBR11,
Methylovirgula ligni,
Komagataeibacter rhaeticus,
Cupriavidus sp. USMAHM13,
Alteromonas mediterranea,
Actinomyces trachealis,
Streptomyces sp. HNM0140,Mesophilic
Leucobacter sp. H21R-40,
Mycobacterium sp. EPa45,
Sphingobacterium sp. G1-14,
Methyloceanibacter caenitepidi,
Sphingomicrobium aestuariivivum,
Microbulbifer thermotolerans,
Actinomyces viscosus,
Streptomyces filamentosus,Mesophilic
Streptomyces sp. S8,Mesophilic
Mycobacterium lentiflavum,
Clostridium sp. LQ25,Mesophilic
Moorella thermoacetica,
Calycomorphotria hydatis,
Brevundimonas sp. MF30-B,
Methylobacterium sp. C1,
Nitrogeniibacter aestuarii,
Pseudomonas sp. LS1212,Mesophilic
Streptomyces sp. HNA39,Mesophilic
Microbacterium sp. PAMC21962,
Arthrobacter sp. zg-Y453,
Mycobacterium riyadhense,
Collinsella aerofaciens,
Aquisalinus flavus,
Yoonia vestfoldensis,
Sphingomonas sp. LK11,
Sandaracinobacteroides saxicola,Mesophilic
Paraburkholderia fungorum,
Actinopolyspora erythraea,
Streptomyces pluripotens,Mesophilic
Arthrobacter sp. zg-Y809,
Planococcus sp. 107-1,
Flavobacterium sp. IMCC36793,
Lacipirellula parvula,
Erythrobacter litoralis,
Caballeronia insecticola,
Hydrocarboniclastica marina,
Pseudomonas sp. MRSN 12121,Mesophilic
Vibrio parahaemolyticus,
Halosegnis sp. ZY10,
Streptomyces sp. 3211,Mesophilic
Microbacterium binotii,
Paenibacillus sp. BIHB4019,
Robiginitalea biformata,
Xanthobacter autotrophicus,
Ruegeria pomeroyi,
Paraburkholderia bryophila,
Janthinobacterium lividum,
Crenobacter cavernae,
Pantoea vagans,Mesophilic
Mycobacterium florentinum,
Epilithonimonas vandammei,
Sphingobacterium sp. dk4302,
Paraburkholderia caffeinilytica,
Diaphorobacter aerolatus,
Massilia sp. H6,
Jeongeupia sp. HS-3,
Halothiobacillus sp. LS2,
Dickeya sp. NCPPB 3274,Mesophilic
