species,TempClass
Stenotrophomonas sp. ZAC14D2_NAIMI4_7,
Streptomyces violaceoruber,Mesophilic
Aeromicrobium choanae,
Catellatospora sp. IY07-71,
Miniimonas sp. S16,
Micromonospora sagamiensis,
Mesorhizobium loti,
Microbacterium sp. YJN-G,
Limnochorda pilosa,
Dactylosporangium vinaceum,
Xanthomonas hyacinthi,
Micromonospora inositola,
Vulgatibacter incomptus,
Conexibacter sp. SYSU D00693,
Couchioplanes caeruleus,
Shinella zoogloeoides,
Curtobacterium flaccumfaciens,
Kocuria rosea,
Stenotrophomonas sp. ZAC14A_NAIMI4_1,
Aeromicrobium sp. zg.Y50,
Micromonospora echinofusca,
Aminobacter sp. MSH1,
Micrococcus luteus,
Mesorhizobium sp. L-8-10,
Cupriavidus taiwanensis,
Phytohabitans flavus,
Stenotrophomonas sp. 169,
Nocardiopsis alba,
Occultella kanbiaonis,
Pseudomonas sp. Z8(2022),Mesophilic
Nocardia asteroides,
Mesorhizobium terrae,
Microbacterium sp. NIBRBAC000506063,
Jeotgalicoccus sp. WY2,
Xanthomonas theicola,
Brachybacterium sp. Z12,
Micromonospora purpureochromogenes,
Nocardioides marinisabuli,
Streptomyces sp. WAC 01438,Mesophilic
Micromonospora krabiensis,
Micromonospora maris,
Haliangium ochraceum,
Stenotrophomonas sp. LM091,
Baekduia sp. 0141_2,
Xanthomonas phaseoli,
Pseudazoarcus pumilus,
Rhodopseudomonas palustris,Mesophilic
Pseudomonas mendocina,Mesophilic
Mesorhizobium sp. Pch-S,
Azospirillum brasilense,
Streptomyces hygroscopicus,Mesophilic
Aeromonas sp. ASNIH3,
Archangium violaceum,
Micromonospora echinospora,
Leadbetterella byssophila,
Sphingosinicella microcystinivorans,
Mesorhizobium huakuii,
Achromobacter spanius,
Aminobacter sp. MDW-2,
Streptomyces lividans,Mesophilic
Streptomonospora nanhaiensis,
Ilumatobacter coccineus,
Micromonospora viridifaciens,
Stutzerimonas balearica,
Actinoplanes teichomyceticus,
Staphylococcus equorum,
Micromonospora ferruginea,
Actinocatenispora sera,
Streptomyces albus,Mesophilic
Xylanimonas cellulosilytica,
Actinoplanes ianthinogenes,
Rhodococcus opacus,
Nitratireductor sp. OM-1,
Zea mays,
Baekduia soli,
Bradyrhizobium elkanii,
Nocardioides sp. LMS-CY,
Xanthomonas albilineans,
Steroidobacter denitrificans,
Actinoplanes sp. OR16,
Saccharopolyspora erythraea,
Nocardioides sp. zg-1228,
Nocardioides sp. TF02-7,
Alcaligenes aquatilis,
Ralstonia solanacearum,
Corallococcus sp. EGB,
Saccharothrix syringae,
Micromonospora coriariae,
Bradyrhizobium diazoefficiens,
Actinoplanes sp. N902-109,
Ralstonia pseudosolanacearum,
Streptomyces lydicus,Mesophilic
Salinibacterium sp. ZJ70,
Micromonospora coxensis,
Labilithrix luteola,
Citrobacter freundii,Mesophilic
Pannonibacter phragmitetus,
Alcaligenes faecalis,
Tessaracoccus defluvii,
Micromonospora endophytica,
Pusillimonas sp. M17,
Microbacterium sp. No. 7,
Agrococcus sp. SGAir0287,
Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1,
Nitratireductor sp. SY7,
Micromonospora siamensis,
Mycobacterium avium,
Brevibacterium sp. CS2,
Paraconexibacter antarcticus,
Lysobacter ciconiae,
Spiribacter sp. E85,
Myroides sp. SCSIO 72103,
Cellulosimicrobium sp. JZ28,
Caenibius tardaugens,
Microbacterium esteraromaticum,
Micromonospora auratinigra,
Micromonospora sp. B006,
Micromonospora chokoriensis,
Bordetella genomosp. 13,
Saccharopolyspora rosea,
Aeromicrobium sp. zg-629,
Phycicoccus sp. HDW14,
Aquibium oceanicum,
Nocardioides sp. dk884,
Ruania suaedae,
Agrococcus sp. SCSIO52902,
Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2,
Nocardioides humi,
Kytococcus sedentarius,
Egicoccus halophilus,
Xylanimonas allomyrinae,
Rhodococcus pyridinivorans,
Streptomyces viridosporus,Mesophilic
Anaeromyxobacter dehalogenans,
Ornithinimicrobium flavum,
Ensifer adhaerens,
Microbacterium paludicola,
Dokdonella koreensis,
Pseudactinotalea sp. HY158,
Phycicoccus endophyticus,
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1,
Bacillus subtilis,
Anseongella ginsenosidimutans,
Micromonospora terminaliae,
Sphingopyxis sp. 113P3,
Pusillimonas thiosulfatoxidans,
Ramlibacter tataouinensis,
Dactylosporangium fulvum,
Acholeplasma laidlawii,
Streptomyces marincola,Mesophilic
Plantactinospora sp. BB1,
Nocardioides ochotonae,
Achromobacter mucicolens,
Geodermatophilus obscurus,
Actinoplanes missouriensis,
Flavobacterium sp. I3-2,
Micromonospora sp. WMMA2032,
Mesorhizobium opportunistum,
Staphylococcus sp. MZ9,
Actinokineospora sp. UTMC 2448,
Caulobacter segnis,
Lolium perenne,
Xanthobacter dioxanivorans,
Chondromyces crocatus,
Micromonospora chalcea,
Lolium rigidum,
Paenibacillus polymyxa,
Xanthomonas cassavae,
Mesorhizobium sp. DCY119,
Nicotiana attenuata,
Corynebacterium glutamicum,
Nocardioides campestrisoli,
Burkholderia pseudomallei,
Papaver somniferum,
Nocardioides sp. cx-173,
